35,大名鼎鼎,形容人的名氣聲望很大,ㄉㄚˋ　ㄇㄧㄥˊ　ㄉㄧㄥˇ　ㄉㄧㄥˇ,
36,大腹便便,大肚子顯得肥胖而凸出的樣子,ㄉㄚˋ　ㄈㄨˋ　ㄆㄧㄢˊ　ㄆㄧㄢˊ,
37,大同小異,形容事物略有差異，但大體相同,ㄉㄚˋ　ㄊㄨㄥˊ　ㄒㄧㄠˇ　ㄧˋ,
38,大好河山,指美麗的國土,ㄉㄚˋ　ㄏㄠˇ　ㄏㄜˊ　ㄕㄢ,
39,大驚失色,形容十分驚嚇，以致變了臉色,ㄉㄚˋ　ㄐㄧㄥ　ㄕ　ㄙㄜˋ,
40,大千世界,比喻廣闊無邊、千奇百怪的世界,ㄉㄚˋ　ㄑㄧㄢ　ㄕˋ　ㄐㄧㄝˋ,
41,大智若愚,具有高智慧的人，表面上看起來似乎愚笨,ㄉㄚˋ　ㄓˋ　ㄖㄨㄛˋ　ㄩˊ,
42,得寸進尺,得到一些利益，即想進而獲得更多利益,ㄉㄜˊ　ㄘㄨㄣˋ　ㄐㄧㄣˋ　ㄔˇ,
43,得意洋洋,形容十分得意的樣子,ㄉㄜˊ　ㄧˋ　ㄧㄤˊ　ㄧㄤˊ,
44,得意忘形,形容人高興過頭，舉止失去常態,ㄉㄜˊ　ㄧˋ　ㄨㄤˋ　ㄒㄧㄥˊ,
45,呆若木雞,形容愚笨或受驚嚇而發愣的樣子,ㄉㄞ　ㄖㄨㄛˋ　ㄇㄨˋ　ㄐㄧ,
46,喋喋不休,形容話多，沒完沒了,ㄉㄧㄝˊ　ㄉㄧㄝˊ　ㄅㄨˋ　ㄒㄧㄡ,
47,對牛彈琴,比喻講話、做事不看對象,ㄉㄨㄟˋ　ㄋㄧㄡˊ　ㄊㄢˊ　ㄑㄧㄣˊ,
48,斷垣殘壁,形容建築物倒塌殘破的景象,ㄉㄨㄢˋ　ㄩㄢˊ　ㄘㄢˊ　ㄅㄧˋ,
49,東張西望,四周探望,ㄉㄨㄥ　ㄓㄤ　ㄒㄧ　ㄨㄤˋ,
50,滔滔不絕,形容說話連續不斷,ㄊㄠ　ㄊㄠ　ㄅㄨˋ　ㄐㄩㄝˊ,
51,偷天換日,比喻騙局之大與技巧之妙,ㄊㄡ　ㄊㄧㄢ　ㄏㄨㄢˋ　ㄖˋ,
52,鐵面無私,公正嚴明而不偏私,ㄊㄧㄝˇ　ㄇㄧㄢˋ　ㄨˊ　ㄙ,
53,神出鬼沒,形容出沒無常，變化莫測,ㄕㄣˊ　ㄔㄨ　ㄍㄨㄟˇ　ㄇㄛˋ,
54,鐵石心腸,人剛強而不為感情所動的秉性,ㄊㄧㄝˇ　ㄕˊ　ㄒㄧㄣ　ㄔㄤˊ,
55,天花亂墜,說話動聽，但多浮誇不切實際,ㄊㄧㄢ　ㄏㄨㄚ　ㄌㄨㄢˋ　ㄓㄨㄟˋ,
56,天真爛漫,形容性情率真，毫不假飾,ㄊㄧㄢ　ㄓㄣ　ㄌㄢˋ　ㄇㄢˋ,
57,突飛猛進,比喻發展進步得很快,ㄊㄨˊ　ㄈㄟ　ㄇㄥˇ　ㄐㄧㄣˋ,
58,同甘共苦,同歡樂，共患難,ㄊㄨㄥˊ　ㄍㄢ　ㄍㄨㄥˋ　ㄎㄨˇ,
59,同心協力,團結一致，共同努力,ㄊㄨㄥˊ　ㄒㄧㄣ　ㄒㄧㄝˊ　ㄌㄧˋ,
60,惱羞成怒,因羞愧到極點而惱恨發怒,ㄋㄠˇ　ㄒㄧㄡ　ㄔㄥˊ　ㄋㄨˋ,
61,鳥語花香,形容景色的美好,ㄋㄧㄠˇ　ㄩˇ　ㄏㄨㄚ　ㄒㄧㄤ,
62,牛刀小試,比喻有大才能，在小事上施展,ㄋㄧㄡˊ　ㄉㄠ　ㄒㄧㄠˇ　ㄕˋ,
63,狼狽為奸,比喻互相勾結做壞事,ㄌㄤˊ　ㄅㄟˋ　ㄨㄟˊ　ㄐㄧㄢ,
64,離群索居,離開群體，獨自生活,ㄌㄧˊ　ㄑㄩㄣˊ　ㄙㄨㄛˇ　ㄐㄩ,
65,離鄉背井,指離開故鄉，在外地生活,ㄌㄧˊ　ㄒㄧㄤ　ㄅㄟˋ　ㄐㄧㄥˇ,
66,力不從心,心裡想做某事，力量卻無法達到,ㄌㄧˋ　ㄅㄨˋ　ㄘㄨㄥˊ　ㄒㄧㄣ,
67,力爭上流,比喻努力奮鬥，求取上進,ㄌㄧˋ　ㄓㄥ　ㄕㄤˋ　ㄌㄧㄡˊ,
68,厲兵秣馬,比喻完成事前準備工作,ㄌㄧˋ　ㄅㄧㄥ　ㄇㄛˋ　ㄇㄚˇ,
69,歷歷在目,清楚明白地呈現在眼前,ㄌㄧˋ　ㄌㄧˋ　ㄗㄞˋ　ㄇㄨˋ,
70,梁上君子,竊賊的代稱,ㄌㄧㄤˊ　ㄕㄤˋ　ㄐㄩㄣ　ㄗˇ,
71,伶牙俐齒,形容人口才好，能言善道,ㄌㄧㄥˊ　ㄧㄚˊ　ㄌㄧˋ　ㄔˇ,
72,落落大方,舉止自然坦率，毫無矯揉造作,ㄌㄨㄛˋ　ㄌㄨㄛˋ　ㄉㄚˋ　ㄈㄤ,
73,落荒而逃,無暇擇道，倉皇逃走,ㄌㄨㄛˋ　ㄏㄨㄤ　ㄦˊ　ㄊㄠˊ,
74,高官厚祿,高貴的官位，優厚的俸祿,ㄍㄠ　ㄍㄨㄢ　ㄏㄡˋ　ㄌㄨˋ,
75,高枕無憂,形容身心安適，無憂無慮,ㄍㄠ　ㄓㄣˇ　ㄨˊ　ㄧㄡ,
76,孤陋寡聞,形容學識淺薄，見聞不廣,ㄍㄨ　ㄌㄡˋ　ㄍㄨㄚˇ　ㄨㄣˊ,
77,顧小失大,因貪圖小利而造成重大損失,ㄍㄨˋ　ㄒㄧㄠˇ　ㄕ　ㄉㄚˋ,
78,鬼斧神工,技藝精巧，達到鬼神靈妙的境界,ㄍㄨㄟˇ　ㄈㄨˇ　ㄕㄣˊ　ㄍㄨㄥ,
79,層出不窮,形容接連出現，沒有止盡,ㄘㄥˊ　ㄔㄨ　ㄅㄨˋ　ㄑㄩㄥˊ,
80,粗茶淡飯,簡單清淡的飲食,ㄘㄨ　ㄔㄚˊ　ㄉㄢˋ　ㄈㄢˋ,
81,死氣沉沉,氣氛沉悶，也意志消沉，毫無生氣,ㄙˇ　ㄑㄧˋ　ㄔㄣˊ　ㄔㄣˊ,
82,四分五裂,形容分散而不完整、不團結,ㄙˋ　ㄈㄣ　ㄨˇ　ㄌㄧㄝˋ,
83,四通八達,四方相通的道路，亦用於對事明理,ㄙˋ　ㄊㄨㄥ　ㄅㄚ　ㄉㄚˊ,
84,公正無私,謂秉公處理，毫無偏私,ㄍㄨㄥ　ㄓㄥˋ　ㄨˊ　ㄙ,
85,供不應求,供給不能滿足需求,ㄍㄨㄥ　ㄅㄨˋ　ㄧㄥˋ　ㄑㄧㄡˊ,
86,口是心非,指心裡想的和嘴上說的不一致,ㄎㄡˇ　ㄕˋ　ㄒㄧㄣ　ㄈㄟ,
87,康莊大道,比喻光明的前途,ㄎㄤ　ㄓㄨㄤ　ㄉㄚˋ　ㄉㄠˋ,
88,苦口婆心,以懇切真摯的態度，竭力勸告他人,ㄎㄨˇ　ㄎㄡˇ　ㄆㄛˊ　ㄒㄧㄣ,
89,苦盡甘來,艱苦的困境已經結束，轉而進入佳境,ㄎㄨˇ　ㄐㄧㄣˋ　ㄍㄢ　ㄌㄞˊ,
90,寬宏大量,度量寬大,ㄎㄨㄢ　ㄏㄨㄥˊ　ㄉㄚˋ　ㄌㄧㄤˋ,
91,海市蜃樓,比喻虛幻的事物,ㄏㄞˇ　ㄕˋ　ㄕㄣˋ　ㄌㄡˊ,
92,呼風喚雨,比喻人神通廣大、影響力深遠,ㄏㄨ　ㄈㄥ　ㄏㄨㄢˋ　ㄩˇ,
93,狐假虎威,藉著有權者的威勢欺壓他人,ㄏㄨˊ　ㄐㄧㄚˇ　ㄏㄨˇ　ㄨㄟ,
94,湖光山色,形容美好的自然風景,ㄏㄨˊ　ㄍㄨㄤ　ㄕㄢ　ㄙㄜˋ,
95,虎頭蛇尾,比喻做事有始無終,ㄏㄨˇ　ㄊㄡˊ　ㄕㄜˊ　ㄨㄟˇ,
96,虎視眈眈,比喻心懷不軌,ㄏㄨˇ　ㄕˋ　ㄉㄢ　ㄉㄢ,
97,花花世界,形容形色不同的世界,ㄏㄨㄚ　ㄏㄨㄚ　ㄕˋ　ㄐㄧㄝˋ,
98,畫蛇添足,比喻多此一舉，反將事情弄糟,ㄏㄨㄚˋ　ㄕㄜˊ　ㄊㄧㄢ　ㄗㄨˊ,
99,火樹銀花,形容燈火通明燦爛的景象,ㄏㄨㄛˇ　ㄕㄨˋ　ㄧㄣˊ　ㄏㄨㄚ,
100,回味無窮,事後細細玩味、越想越有意思,ㄏㄨㄟˊ　ㄨㄟˋ　ㄨˊ　ㄑㄩㄥˊ,
101,九牛一毛,比喻極大數量中的一小部分,ㄐㄧㄡˇ　ㄋㄧㄡˊ　ㄧˋ　ㄇㄠˊ,
102,見義勇為,看到合乎正義的事，就奮勇去做,ㄐㄧㄢˋ　ㄧˋ　ㄩㄥˇ　ㄨㄟˊ,
103,津津有味,形容食慾盎然或食物的美味,ㄐㄧㄣ　ㄐㄧㄣ　ㄧㄡˇ　ㄨㄟˋ,
104,將計就計,利用對方計策，順水推舟反施其計,ㄐㄧㄤ　ㄐㄧˋ　ㄐㄧㄡˋ　ㄐㄧˋ,
105,將心比心,以自己的立場去體會他人的心意,ㄐㄧㄤ　ㄒㄧㄣ　ㄅㄧˇ　ㄒㄧㄣ,
106,井底之蛙,比喻見識淺薄的人,ㄐㄧㄥˇ　ㄉㄧˇ　ㄓ　ㄨㄚ,
107,井然有序,形容整齊有序，條理分明,ㄐㄧㄥˇ　ㄖㄢˊ　ㄧㄡˇ　ㄒㄩˋ,
108,鏡花水月,比喻虛幻不實在,ㄐㄧㄥˋ　ㄏㄨㄚ　ㄕㄨㄟˇ　ㄩㄝˋ,
109,舉世聞名,名氣極大，全世界的人都知道,ㄐㄩˇ　ㄕˋ　ㄨㄣˊ　ㄇㄧㄥˊ,
110,聚精會神,形容專心致志，精神集中,ㄐㄩˋ　ㄐㄧㄥ　ㄏㄨㄟˋ　ㄕㄣˊ,
111,一落千丈,成績、地位、景況或聲望急遽下降,ㄧˊ　ㄌㄨㄛˋ　ㄑㄧㄢ　ㄓㄤˋ,
112,七手八腳,形容人多動作紛亂又沒條理,ㄑㄧ　ㄕㄡˇ　ㄅㄚ　ㄐㄧㄠˇ,
113,七上八下,形容心情起伏不定、忐忑不安,ㄑㄧ　ㄕㄤˋ　ㄅㄚ　ㄒㄧㄚˋ,
114,奇花異草,珍奇的花草,ㄑㄧˊ　ㄏㄨㄚ　ㄧˋ　ㄘㄠˇ,
115,旗鼓相當,指兩方軍隊陣容、聲勢不相上下,ㄑㄧˊ　ㄍㄨˇ　ㄒㄧㄤ　ㄉㄤ,
116,杞人憂天,比喻缺乏根據且不必要的憂慮,ㄑㄧˇ　ㄖㄣˊ　ㄧㄡ　ㄊㄧㄢ,
117,秋高氣爽,深秋天空清朗，氣候涼爽,ㄑㄧㄡ　ㄍㄠ　ㄑㄧˋ　ㄕㄨㄤˇ,
118,千方百計,費盡心機，想盡一切辦法、計謀,ㄑㄧㄢ　ㄈㄤ　ㄅㄞˇ　ㄐㄧˋ,
119,千呼萬喚,頻頻呼喚，再三催促,ㄑㄧㄢ　ㄏㄨ　ㄨㄢˋ　ㄏㄨㄢˋ,
120,千金一諾,形容信守承諾，說話算數,ㄑㄧㄢ　ㄐㄧㄣ　ㄧˊ　ㄋㄨㄛˋ,
121,千言萬語,形容要說的話極多,ㄑㄧㄢ　ㄧㄢˊ　ㄨㄢˋ　ㄩˇ,
122,傾盆大雨,形容雨大且急,ㄑㄧㄥ　ㄆㄣˊ　ㄉㄚˋ　ㄩˇ,
123,情不自禁,感情激動得無法自我控制,ㄑㄧㄥˊ　ㄅㄨˊ　ㄗˋ　ㄐㄧㄣ,
124,喜從天降,突然遇到意想不到的喜事而心中歡喜,ㄒㄧˇ　ㄘㄨㄥˊ　ㄊㄧㄢ　ㄐㄧㄤˋ,
125,小心翼翼,形容舉止十分謹慎，不敢懈怠疏忽,ㄒㄧㄠˇ　ㄒㄧㄣ　ㄧˋ　ㄧˋ,
126,小時了了,人在幼年時聰慧敏捷,ㄒㄧㄠˇ　ㄕˊ　ㄌㄧㄠˇ　ㄌㄧㄠˇ,
127,笑容滿面,神情愉悅、充滿笑容的樣子,ㄒㄧㄠˋ　ㄖㄨㄥˊ　ㄇㄢˇ　ㄇㄧㄢˋ,
128,笑容可掬,形容笑容滿面的樣子,ㄒㄧㄠˋ　ㄖㄨㄥˊ　ㄎㄜˇ　ㄐㄩˊ,
129,心不在焉,心不在其位比喻心思不集中,ㄒㄧㄣ　ㄅㄨˊ　ㄗㄞˋ　ㄧㄢ,
130,心平氣和,心氣平和，不急不怒,ㄒㄧㄣ　ㄆㄧㄥˊ　ㄑㄧˋ　ㄏㄜˊ,
131,心花怒放,形容心情極其快活,ㄒㄧㄣ　ㄏㄨㄚ　ㄋㄨˋ　ㄈㄤˋ,
132,心慌意亂,心中慌亂無主,ㄒㄧㄣ　ㄏㄨㄤ　ㄧˋ　ㄌㄨㄢˋ,
133,心驚肉跳,形容恐懼不安，心神不寧,ㄒㄧㄣ　ㄐㄧㄥ　ㄖㄡˋ　ㄊㄧㄠˋ,
134,心直口快,性情直率，說話不隱諱,ㄒㄧㄣ　ㄓˊ　ㄎㄡˇ　ㄎㄨㄞˋ,
135,心如刀割,謂內心痛苦，像被刀割一樣,ㄒㄧㄣ　ㄖㄨˊ　ㄉㄠ　ㄍㄜ,
136,心安理得,心中坦然無愧咎，則行事合情合理,ㄒㄧㄣ　ㄢ　ㄌㄧˇ　ㄉㄜˊ,
137,相貌堂堂,儀表壯偉,ㄒㄧㄤˋ　ㄇㄠˋ　ㄊㄤˊ　ㄊㄤˊ,
138,行雲流水,比喻平淡自然的事物,ㄒㄧㄥˊ　ㄩㄣˊ　ㄌㄧㄡˊ　ㄕㄨㄟˇ,
139,雪中送炭,人艱困危急之時，給予適時的援助,ㄒㄩㄝˇ　ㄓㄨㄥ　ㄙㄨㄥˋ　ㄊㄢˋ,
140,尋幽訪勝,尋找訪求景色清雅的地方,ㄒㄩㄣˊ　ㄧㄡ　ㄈㄤˇ　ㄕㄥˋ,
141,執迷不悟,堅持錯誤的觀念而不醒悟,ㄓˊ　ㄇㄧˊ　ㄅㄨˊ　ㄨˋ,
142,紙上談兵,比喻不切實際的議論,ㄓˇ　ㄕㄤˋ　ㄊㄢˊ　ㄅㄧㄥ,
143,爭先恐後,指競相爭先，惟恐落後,ㄓㄥ　ㄒㄧㄢ　ㄎㄨㄥˇ　ㄏㄡˋ,
144,正中下懷,恰好符合自己的心意,ㄓㄥˋ　ㄓㄨㄥˋ　ㄒㄧㄚˋ　ㄏㄨㄞˊ,
145,壯志凌雲,形容志氣高遠,ㄓㄨㄤˋ　ㄓˋ　ㄌㄧㄥˊ　ㄩㄣˊ,
146,持之以恆,有恆心的堅持到底,ㄔˊ　ㄓ　ㄧˇ　ㄏㄥˊ,
147,赤子之心,比喻純潔、善良的心地,ㄔˋ　ㄗˇ　ㄓ　ㄒㄧㄣ,
148,奼紫嫣紅,形容花開得鮮豔嬌美,ㄔㄚˋ　ㄗˇ　ㄧㄢ　ㄏㄨㄥˊ,
149,朝三暮四,比喻人心意不定、反覆無常,ㄓㄠ　ㄙㄢ　ㄇㄨˋ　ㄙˋ,
150,長年累月,極言很長的一段時間,ㄔㄤˊ　ㄋㄧㄢˊ　ㄌㄟˇ　ㄩㄝˋ,
151,乘風破浪,比喻人志向遠大，不畏艱難，奮勇前進,ㄔㄥˊ　ㄈㄥ　ㄆㄛˋ　ㄌㄤˋ,
152,出口成章,比喻才思敏捷，談吐風雅,ㄔㄨ　ㄎㄡˇ　ㄔㄥˊ　ㄓㄤ,
153,出神入化,文藝、工藝等之技巧達到至高絕妙的境界,ㄔㄨ　ㄕㄣˊ　ㄖㄨˋ　ㄏㄨㄚˋ,
154,春風化雨,比喻師長和藹親切的教導,ㄔㄨㄣ　ㄈㄥ　ㄏㄨㄚˋ　ㄩˇ,
155,春花秋月,比喻美好的時光與景物,ㄔㄨㄣ　ㄏㄨㄚ　ㄑㄧㄡ　ㄩㄝˋ,
156,窗明几淨,形容居室明亮潔淨,ㄔㄨㄤ　ㄇㄧㄥˊ　ㄐㄧˇ　ㄐㄧㄥˋ,
157,崇山峻嶺,高大陡峭的山嶺,ㄔㄨㄥˊ　ㄕㄢ　ㄐㄩㄣˋ　ㄌㄧㄥˇ,
158,十面埋伏,形容被敵軍層層包圍,ㄕˊ　ㄇㄧㄢˋ　ㄇㄞˊ　ㄈㄨˊ,
159,世外桃源,比喻風景優美，心目中理想的世界,ㄕˋ　ㄨㄞˋ　ㄊㄠˊ　ㄩㄢˊ,
160,事半功倍,費力少而收效大，比喻工作效率高,ㄕˋ　ㄅㄢˋ　ㄍㄨㄥ　ㄅㄟˋ,
161,殺雞取卵,貪圖眼前的好處而斷絕了長遠利益,ㄕㄚ　ㄐㄧ　ㄑㄩˇ　ㄌㄨㄢˇ,
162,手忙腳亂,形容十分忙碌的樣子,ㄕㄡˇ　ㄇㄤˊ　ㄐㄧㄠˇ　ㄌㄨㄢˋ,
163,手舞足蹈,揮手舉足，舞動跳躍,ㄕㄡˇ　ㄨˇ　ㄗㄨˊ　ㄉㄠˋ,
164,神采奕奕,形容人精神飽滿，容光煥發,ㄕㄣˊ　ㄘㄞˇ　ㄧˋ　ㄧˋ,
165,上下其手,形容帶有邪念，不禮貌地觸摸他人身體,ㄕㄤˋ　ㄒㄧㄚˋ　ㄑㄧˊ　ㄕㄡˇ,
166,上行下效,在上位的人怎麼做，下面的人就起而效法,ㄕㄤˋ　ㄒㄧㄥˊ　ㄒㄧㄚˋ　ㄒㄧㄠˋ,
167,生花妙筆,比喻文筆美妙，寫作能力極佳,ㄕㄥ　ㄏㄨㄚ　ㄇㄧㄠˋ　ㄅㄧˇ,
168,生意盎然,形容充滿生機，生命力旺盛,ㄕㄥ　ㄧˋ　ㄤˋ　ㄖㄢˊ,
169,水滴石穿,比喻小問題日積月累也會成為大問題,ㄕㄨㄟˇ　ㄉㄧ　ㄕˊ　ㄔㄨㄢ,
170,日新月異,形容發展或進步快速，不斷出現新事物,ㄖˋ　ㄒㄧㄣ　ㄩㄝˋ　ㄧˋ,
171,日月如梭,形容時光迅速消逝,ㄖˋ　ㄩㄝˋ　ㄖㄨˊ　ㄙㄨㄛ,
172,人面獸心,形容人凶狠殘暴，如野獸一般,ㄖㄣˊ　ㄇㄧㄢˋ　ㄕㄡˋ　ㄒㄧㄣ,
173,人定勝天,人的智慧和力量，能克服自然阻礙,ㄖㄣˊ　ㄉㄧㄥˋ　ㄕㄥˋ　ㄊㄧㄢ,
174,人情世故,為人處世應對進退的方法,ㄖㄣˊ　ㄑㄧㄥˊ　ㄕˋ　ㄍㄨˋ,
175,人云亦云,沒有獨自的見解，只會盲從跟隨,ㄖㄣˊ　ㄩㄣˊ　ㄧˋ　ㄩㄣˊ,
176,如花似玉,比喻女子美麗動人,ㄖㄨˊ　ㄏㄨㄚ　ㄙˋ　ㄩˋ,
177,如日中天,事物正發展到十分興盛的地步,ㄖㄨˊ　ㄖˋ　ㄓㄨㄥ　ㄊㄧㄢ,
178,如魚得水,比喻得到適合於自己發展的環境,ㄖㄨˊ　ㄩˊ　ㄉㄜˊ　ㄕㄨㄟˇ,
179,如願以償,指心願得以實現,ㄖㄨˊ　ㄩㄢˋ　ㄧˇ　ㄔㄤˊ,
180,入木三分,指墨跡深透木板三分，形容筆力遒勁,ㄖㄨˋ　ㄇㄨˋ　ㄙㄢ　ㄈㄣ,
181,容光煥發,形容人精神飽滿，生氣蓬勃,ㄖㄨㄥˊ　ㄍㄨㄤ　ㄏㄨㄢˋ　ㄈㄚ,
182,孜孜不倦,指勤勉而不知疲倦,ㄗ　ㄗ　ㄅㄨˊ　ㄐㄩㄢˋ,
183,自暴自棄,自甘墮落，不求上進,ㄗˋ　ㄅㄠˋ　ㄗˋ　ㄑㄧˋ,
184,自相矛盾,言語或行事前後無法呼應互相牴觸,ㄗˋ　ㄒㄧㄤ　ㄇㄠˊ　ㄉㄨㄣˋ,
185,自知之明,能清楚的了解自身的能力、優缺點,ㄗˋ　ㄓ　ㄓ　ㄇㄧㄥˊ,
186,才高八斗,比喻才學極高,ㄘㄞˊ　ㄍㄠ　ㄅㄚ　ㄉㄡˇ,
187,三頭六臂,比喻人本領大，力強可畏,ㄙㄢ　ㄊㄡˊ　ㄌㄧㄡˋ　ㄅㄧˋ,
188,三教九流,指社會上各種行業或各色人物,ㄙㄢ　ㄐㄧㄠˋ　ㄐㄧㄡˇ　ㄌㄧㄡˊ,
189,三寸之舌,形容人口才極佳，能言善道,ㄙㄢ　ㄘㄨㄣˋ　ㄓ　ㄕㄜˊ,
190,三思而行,再三考慮，然後行動比喻謹慎行事,ㄙㄢ　ㄙ　ㄦˊ　ㄒㄧㄥˊ,
191,安分守己,安於本分，謹守其身,ㄢ　ㄈㄣˋ　ㄕㄡˇ　ㄐㄧˇ,
192,一敗塗地,形容做事失敗，到了無法收拾的地步,ㄧˊ　ㄅㄞˋ　ㄊㄨˊ　ㄉㄧˋ,
193,以德報怨,不記仇恨，反以恩德回報他人,ㄧˇ　ㄉㄜˊ　ㄅㄠˋ　ㄩㄢˋ,
194,一團和氣,一片祥和的氣氛、態度和藹可親,ㄧˋ　ㄊㄨㄢˊ　ㄏㄜˊ　ㄑㄧˋ,
195,一板一眼,比喻人言行謹守法規，有條有理,ㄧˋ　ㄅㄢˇ　ㄧˋ　ㄧㄢˇ,
196,一波三折,比喻事情進行得曲折不順,ㄧˋ　ㄅㄛ　ㄙㄢ　ㄓㄜˊ,
197,一盤散沙,比喻人心渙散，不能團結起來,ㄧˋ　ㄆㄢˊ　ㄙㄢˇ　ㄕㄚ,
198,一貧如洗,形容非常貧窮，一無所有,ㄧˋ　ㄆㄧㄣˊ　ㄖㄨˊ　ㄒㄧˇ,
199,一毛不拔,比喻自私自利，不肯貢獻出些微的力量,ㄧˋ　ㄇㄠˊ　ㄅㄨˋ　ㄅㄚˊ,
200,一目了然,看一眼就完全清楚明白,ㄧˊ　ㄇㄨˋ　ㄌㄧㄠˇ　ㄖㄢˊ,
201,一目十行,形容閱讀速度的快速,ㄧˊ　ㄇㄨˋ　ㄕˊ　ㄏㄤˊ,
202,一帆風順,比喻非常順利，毫無阻礙,ㄧˋ　ㄈㄢˊ　ㄈㄥ　ㄕㄨㄣˋ,
203,一丁不識,比喻不識字或毫無學問,ㄧˋ　ㄉㄧㄥ　ㄅㄨˊ　ㄕˋ,
204,一念之差,一個念頭的差錯,ㄧˊ　ㄋㄧㄢˋ　ㄓ　ㄔㄚ,
